Title,Address,Price,Agent_Info,Bedroom,Bathroom,Toilet,Parking_Space,SQM,Link,Price_numeric
Luxury 3 Bedroom Apartment (Upstairs) In A Gated Area,"Ilasan, Ikate, Lekki, Lagos","₦165,000,000",Exquisite Global Ventures 09158898595,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate/3350028-luxury-3-bedroom-apartment-upstairs-in-a-gated-area,165000000
Luxury 3 Bedroom,"Emily Estate, Igbogbo, Ikorodu, Lagos","₦15,000,000",Nikolight 07085741001,3,3.0,4.0,9.0,,https://nigeriapropertycentre.com/for-sale/houses/lagos/ikorodu/igbogbo/3361407-luxury-3-bedroom,15000000
Standard And Spacious 3 Bedroom Apartment With Modern Features,"Oregun, Ikeja, Lagos","₦170,000,000",Bigfem Homes And Properties 08125579519,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/oregun/3361403-standard-and-spacious-3-bedroom-apartment-with-modern-features,170000000
Spacious 3 Bedroom Apartment,"Abijo, Lekki, Lagos","₦50,000,000",Outstanding Real Estate Limited 09160794470,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/abijo/3210837-spacious-3-bedroom-apartment,50000000
Luxury 3 Bedroom Apartment With Bq,"Ikeja GRA, Ikeja, Lagos","₦400,000,000",Pathfinder Homes And Constructions Limited 08067487430,3,,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikeja/gra/3335942-luxury-3-bedroom-apartment-with-bq,400000000
Luxury 3 Bedroom Duplex Inside Decent Estate,"Harris Drive, VGC, Lekki, Lagos","₦85,000,000",Top Choice Properties Limited 08051579152,3,3.0,4.0,3.0,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/victoria-garden-city/3361372-luxury-3-bedroom-duplex-inside-decent-estate,85000000
Furnished 3 Bedroom Terrace Duplex,"Ikota, Lekki, Lagos","₦125,000,000",Parah Md 09128450217,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikota/3361334-furnished-3-bedroom-terrace-duplex,125000000
Luxury 3 Bedroom Terrace Duplex,"Horizon Premier Estate, Ikate, Lekki, Lagos","₦230,000,000",Heritageglobalproperty 08028111215,3,3.0,4.0,3.0,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikate/3361323-luxury-3-bedroom-terrace-duplex,230000000
A Well Built Brand New 2 Bedroom Apartment With Standard Bq,"Ocean Breeze Estate, Ologolo, Lekki, Lagos","₦130,000,000",Islandpride Real Estate Ltd 2348035473272,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/3358430-a-well-built-brand-new-2-bedroom-apartment-with-standard-bq,130000000
Off Plan Luxury 3 Bedroom Flat With Bq,"Oniru, Victoria Island (VI), Lagos","₦300,000,000",Bankofproperty Ltd 08061764516,3,3.0,3.0,2.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/oniru/2682409-off-plan-luxury-3-bedroom-flat-with-bq,300000000
"Luxury 3-Bedroom Maisonette With Pool, Good For Residential/Commercial","Victoria Island (VI), Lagos","₦460,000,000",Ideal Homes & Properties 08171969365,3,4.0,5.0,3.0,,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/victoria-island/3361306-luxury-3-bedroom-maisonette-with-pool-good-for-residentialcommercial,460000000
3 Bedroom Terrace Duplex + Bq,"Ikota, Lekki, Lagos","₦150,000,000",Janick Properties +234912594511,3,3.0,4.0,1.0,,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikota/2931085-3-bedroom-terrace-duplex-bq,150000000
3 Bedroom Bungalow + Bq,"Eleko, Ibeju Lekki, Lagos","₦75,000,000",Janick Properties +234912594511,3,3.0,4.0,,,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/lekki-ibeju/eleko/3327286-3-bedroom-bungalow-bq,75000000
Gorgeous 3 Bedroom Fully Detached Duplex With A Room Bq,"Abraham Adesanya, Ajah, Lagos","₦110,000,000",Ideal Homes & Properties 08171969365,3,3.0,4.0,2.0,,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/3361259-gorgeous-3-bedroom-fully-detached-duplex-with-a-room-bq,110000000
